source,run_dir,method,method_label,seed,data_fraction,lambda_orbit,max_boost,relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,severity
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.25/aug_orbit_lambda_0.1_steps_4/seed_71,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,71,0.02,0.1,0.25,0.4171714447438717,0.4391987882554531,0.2861866848543286,train_radius
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.35/aug_orbit_lambda_0.1_steps_4/seed_23,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,23,0.02,0.1,0.35,0.3517421875149011,0.3981181844137609,0.3249003612436354,boost_0.35
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.35/aug_orbit_lambda_0.1_steps_4/seed_31,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,31,0.02,0.1,0.35,0.3739837352186441,0.4277517646551132,0.3460017731413245,boost_0.35
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.35/aug_orbit_lambda_0.1_steps_4/seed_47,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,47,0.02,0.1,0.35,0.3763684388250112,0.437002467457205,0.3546370998956263,boost_0.35
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.35/aug_orbit_lambda_0.1_steps_4/seed_59,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,59,0.02,0.1,0.35,0.3189374580979347,0.3946537729352712,0.3309296173974871,boost_0.35
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.35/aug_orbit_lambda_0.1_steps_4/seed_71,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,71,0.02,0.1,0.35,0.4171714447438717,0.4632425922900438,0.3672456662170589,boost_0.35
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.50/aug_orbit_lambda_0.1_steps_4/seed_23,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,23,0.02,0.1,0.5,0.3517421875149011,0.4650816125795245,0.4332986772060394,boost_0.50
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.50/aug_orbit_lambda_0.1_steps_4/seed_31,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,31,0.02,0.1,0.5,0.3739837352186441,0.4962667063809931,0.4600889636203646,boost_0.50
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.50/aug_orbit_lambda_0.1_steps_4/seed_47,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,47,0.02,0.1,0.5,0.3763684388250112,0.5050130616873503,0.4670076160691678,boost_0.50
severity,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.50/aug_orbit_lambda_0.1_steps_4/seed_59,aug_orbit_lambda_0.1_steps_4,FNO + aug. + orbit,59,0.02,0.1,0.5,0.3189374580979347,0.4725560853257775,0.4478203230537474,boost_0.50
