"data_fraction","seed","compared_to","split_relative_l2","baseline_relative_l2","relative_l2_delta_pct","split_orbit_ood_relative_l2","baseline_orbit_ood_relative_l2","orbit_ood_relative_l2_delta_pct","split_equivariance_defect_relative","baseline_equivariance_defect_relative","equivariance_defect_relative_delta_pct"
"0.01","31","update_matched_aug","0.190469738095999","0.115669976454228","64.6665313979463","0.190375163219869","0.115646064979956","64.6187989646393","0.0231545549806924","0.0157270408894163","47.2276643998203"
"0.01","47","update_matched_aug","0.148699773475528","0.105846472084522","40.486282203894","0.148729157401249","0.105665444862098","40.7547733276031","0.0184260097121154","0.0146196083116479","26.0362748394212"
"0.02","23","update_matched_aug","0.109693281818181","0.0744233238510787","47.391000753578","0.109791168244556","0.0745361676672474","47.2991859934328","0.022351475021992","0.0149218902694237","49.7898363975519"
"0.02","31","update_matched_aug","0.127208914142102","0.104085300583392","22.2160222712554","0.127372143790126","0.10415293823462","22.2933754429485","0.0188445501718491","0.0158281677534902","19.057053635875"
"0.02","47","update_matched_aug","0.115655866917223","0.0913768140599132","26.5702553838116","0.115517702419311","0.0913706857245415","26.427531437781","0.0165333225920392","0.01308373238885","26.3654903713027"
"0.01","23","update_matched_aug_orbit","0.16842632740736","0.0996473478153348","69.0223885531661","0.168193882331252","0.099426575936377","69.1639088918029","0.027474726849789","0.0180226587230017","52.445470294147"
"0.01","31","update_matched_aug_orbit","0.190469738095999","0.122854511253536","55.0368286459786","0.190375163219869","0.122806575964205","55.02033317447","0.0231545549806924","0.0165328192559571","40.0520662702425"
"0.01","47","update_matched_aug_orbit","0.148699773475528","0.0986033235676587","50.8060459782518","0.148729157401249","0.098491435055621","51.0071990699061","0.0184260097121154","0.0135812948761256","35.671965598113"
"0.02","23","update_matched_aug_orbit","0.109693281818181","0.0768854506313801","42.6710527380469","0.109791168244556","0.077026461949572","42.5369482976307","0.022351475021992","0.015725210558756","42.13784253303"
"0.02","31","update_matched_aug_orbit","0.127208914142102","0.100054275244474","27.1399086458599","0.127372143790126","0.100034481612965","27.3282389595721","0.0188445501718491","0.0151665162430135","24.2510136797559"
"0.02","47","update_matched_aug_orbit","0.115655866917223","0.0896350718103349","29.0297029737947","0.115517702419311","0.0896186225581914","28.8992166157235","0.0165333225920392","0.0127919074735487","29.2482972240614"
"0.01","23","old_mixed_semi","0.16842632740736","0.101910394150764","65.2690373841497","0.168193882331252","0.101717488258146","65.3539476952065","0.027474726849789","0.0184107942300784","49.2316219845775"
"0.01","31","old_mixed_semi","0.190469738095999","0.108855786733329","74.9743801517913","0.190375163219869","0.108858983614482","74.8823633096485","0.0231545549806924","0.0149257578020467","55.131520206748"
"0.01","47","old_mixed_semi","0.148699773475528","0.100525198038667","47.9228853827572","0.148729157401249","0.100399434799328","48.1374448955002","0.0184260097121154","0.0139091119509089","32.474379220963"
"0.02","23","old_mixed_semi","0.109693281818181","0.0841399081982672","30.3700992395904","0.109791168244556","0.0842536007985473","30.3103573069469","0.022351475021992","0.017203739558024","29.9221889903989"
"0.02","31","old_mixed_semi","0.127208914142102","0.100012267474085","27.1933107356695","0.127372143790126","0.100038635078818","27.3229524670873","0.0188445501718491","0.0149035980049419","26.4429580400677"
"0.02","47","old_mixed_semi","0.115655866917223","0.0962202856317163","20.1990475895034","0.115517702419311","0.0961469562025741","20.1470197100406","0.0165333225920392","0.0137010863425857","20.6716181376826"
