artifact_type,paper_table,method,data_fraction,lambda_orbit,seed,severity,run_dir,checkpoint,config_hash,dataset_sha256,parameters,latency_ms_per_sample,complete,missing_files
training_run,headline,aug,0.02,0.05,47,,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_47,C:/Users/lewandowski/VSCode/orbit-tangent-no/runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_47/checkpoints/best.pt,f90b8d36ac40,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,2668609.0,14.519978750013252,True,
training_run,headline,aug,0.02,0.05,59,,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_59,C:/Users/lewandowski/VSCode/orbit-tangent-no/runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_59/checkpoints/best.pt,e75174bb0507,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,2668609.0,14.0714009374733,True,
training_run,headline,aug,0.02,0.05,71,,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_71,C:/Users/lewandowski/VSCode/orbit-tangent-no/runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_71/checkpoints/best.pt,803713d7b9f0,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,2668609.0,31.628176562480803,True,
training_run,headline,aug_orbit,0.02,0.1,23,,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_23,C:/Users/lewandowski/VSCode/orbit-tangent-no/runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_23/checkpoints/best.pt,15e40d4c8c80,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,2668609.0,20.235002812523817,True,
training_run,headline,aug_orbit,0.02,0.1,31,,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_31,C:/Users/lewandowski/VSCode/orbit-tangent-no/runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_31/checkpoints/best.pt,64f26f2dcb71,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,2668609.0,20.405752812484934,True,
training_run,headline,aug_orbit,0.02,0.1,47,,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_47,C:/Users/lewandowski/VSCode/orbit-tangent-no/runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_47/checkpoints/best.pt,afbda1a47533,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,2668609.0,13.967314374986017,True,
training_run,headline,aug_orbit,0.02,0.1,59,,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_59,C:/Users/lewandowski/VSCode/orbit-tangent-no/runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_59/checkpoints/best.pt,44dfdafc5390,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,2668609.0,15.312148125030944,True,
training_run,headline,aug_orbit,0.02,0.1,71,,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_71,C:/Users/lewandowski/VSCode/orbit-tangent-no/runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_71/checkpoints/best.pt,3740d8786275,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,2668609.0,14.441020625008605,True,
training_run,headline,baseline,0.02,0.05,23,,runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_23,C:/Users/lewandowski/VSCode/orbit-tangent-no/runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_23/checkpoints/best.pt,7cae14c04297,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,2668609.0,19.60492312500719,True,
training_run,headline,baseline,0.02,0.05,31,,runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_31,C:/Users/lewandowski/VSCode/orbit-tangent-no/runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_31/checkpoints/best.pt,fe0b4555ac6c,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,2668609.0,15.669380625013218,True,
training_run,headline,baseline,0.02,0.05,47,,runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_47,C:/Users/lewandowski/VSCode/orbit-tangent-no/runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_47/checkpoints/best.pt,772ea0eec307,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,2668609.0,15.232490312519076,True,
