split,max_boost,sample_index,closure_residual_relative,closure_abs_l2,closure_reference_l2,delta_boost,delta_boost_norm
test,0.7,91,1.850501121225534e-07,1.55158227244101e-06,8.384659767150879,0.6600372791290283,0.6600372791290283
test,0.7,96,2.596356978301628e-07,2.3576819785375847e-06,9.080731391906738,0.6990805864334106,0.6990805864334106
test,0.7,98,2.9804411383338447e-07,1.2691043593804352e-06,4.258109092712402,-0.10369420796632767,0.10369420796632767
test,0.7,120,2.4975375367830566e-07,1.280631863664894e-06,5.127578258514404,0.18033339083194733,0.18033339083194733
test,0.7,137,2.5530019343023014e-07,2.2507906578539405e-06,8.816250801086426,-0.6777610778808594,0.6777610778808594
test,0.7,143,1.4901478095907805e-07,1.0570782933427836e-06,7.093781471252441,-0.5166241526603699,0.5166241526603699
test,0.7,166,2.1909951897214341e-07,1.157495034931344e-06,5.282964706420898,-0.09134254604578018,0.09134254604578018
test,0.7,185,1.1720961623495896e-07,9.137944516623975e-07,7.796241283416748,-0.579359769821167,0.579359769821167
test,0.7,192,2.117223374398236e-07,1.8604055185278412e-06,8.787006378173828,-0.6641401648521423,0.6641401648521423
test,0.7,227,2.392971225617657e-07,1.02774492916069e-06,4.294848918914795,0.0026366591919213533,0.0026366591919213533
test,0.7,251,1.4993884178693406e-07,8.042385388762341e-07,5.363777160644531,0.27132654190063477,0.27132654190063477
test,0.7,261,2.0840694503476698e-07,1.2044848745063064e-06,5.77948522567749,0.4637168049812317,0.4637168049812317
test,0.7,265,3.2865162324924313e-07,1.4587797068088548e-06,4.438681125640869,0.08533072471618652,0.08533072471618652
test,0.7,271,4.7202297537296545e-07,2.1377195480454247e-06,4.528846263885498,0.0782310962677002,0.0782310962677002
test,0.7,276,2.3055387998738297e-07,2.0640934508264763e-06,8.952759742736816,-0.667037844657898,0.667037844657898
test,0.7,281,3.039644127511565e-07,1.285225266656198e-06,4.228209495544434,-0.10982978343963623,0.10982978343963623
test,0.7,283,3.6648361856350675e-07,1.4247412991608144e-06,3.887598752975464,-0.1457686871290207,0.1457686871290207
test,0.7,286,2.4441109758299717e-07,1.0840348068086314e-06,4.435292720794678,-0.22435292601585388,0.22435292601585388
test,0.7,287,1.845624240104371e-07,8.720163577891071e-07,4.7247772216796875,0.2543332576751709,0.2543332576751709
test,0.7,301,2.9420007763292233e-07,2.561899464126327e-06,8.708017349243164,-0.623218834400177,0.623218834400177
test,0.7,310,2.281595925524016e-07,1.0734345323726302e-06,4.7047529220581055,-0.030166829004883766,0.030166829004883766
test,0.7,334,2.3256320957898424e-07,1.947439841387677e-06,8.373808860778809,0.6967194676399231,0.6967194676399231
test,0.7,343,7.418764198519057e-07,3.853415364574175e-06,5.194147109985352,-0.11039730161428452,0.11039730161428452
test,0.7,381,1.37025239155264e-07,1.010783194033138e-06,7.376620769500732,-0.5557563900947571,0.5557563900947571
test,0.7,422,2.045067901690345e-07,9.641524911785382e-07,4.7145256996154785,0.07597553730010986,0.07597553730010986
test,0.7,426,1.383906180763006e-07,1.1891997928614728e-06,8.593066215515137,-0.6328001618385315,0.6328001618385315
test,0.7,434,2.4384067387472896e-07,1.2654745660256594e-06,5.189760208129883,0.17281311750411987,0.17281311750411987
test,0.7,493,2.4516751295777794e-07,1.7678844415058848e-06,7.2109246253967285,-0.4294116795063019,0.4294116795063019
test,1.05,52,6.919859174558951e-07,2.6612376586854225e-06,3.845797538757324,-0.02173660323023796,0.02173660323023796
test,1.05,58,3.454681234416057e-07,4.381042799650459e-06,12.681467056274414,1.034759521484375,1.034759521484375
test,1.05,65,2.9717261895712e-07,1.333883119514212e-06,4.488580226898193,0.18586918711662292,0.18586918711662292
test,1.05,87,4.927063628201722e-07,2.899090986829833e-06,5.884013652801514,-0.3009973168373108,0.3009973168373108
test,1.05,91,1.8691051195673936e-07,2.2116055333754048e-06,11.832429885864258,0.9900559186935425,0.9900559186935425
test,1.05,96,3.07685581901751e-07,3.899893272318877e-06,12.67492961883545,1.0486208200454712,1.0486208200454712
test,1.05,98,1.8950679248064262e-07,8.443562933280191e-07,4.4555463790893555,-0.1555413156747818,0.1555413156747818
test,1.05,120,3.14301757953217e-07,1.7638820963838953e-06,5.61206579208374,0.2705000936985016,0.2705000936985016
test,1.05,137,2.2646273123427818e-07,2.784883008644101e-06,12.29731273651123,-1.016641616821289,1.016641616821289
test,1.05,143,1.5953578724747786e-07,1.5387207668027258e-06,9.644988059997559,-0.7749361991882324,0.7749361991882324
test,1.05,166,6.933294685040892e-07,3.7494103253266076e-06,5.407833576202393,-0.13701380789279938,0.13701380789279938
test,1.05,185,1.3856717373528227e-07,1.4826467804596177e-06,10.699841499328613,-0.8690396547317505,0.8690396547317505
test,1.05,192,3.666641532618087e-07,4.457415343495086e-06,12.156670570373535,-0.9962102770805359,0.9962102770805359
test,1.05,227,3.15335796585714e-07,1.3543605064114672e-06,4.294978618621826,0.0039549884386360645,0.0039549884386360645
test,1.05,251,2.0613781259726238e-07,1.3126464182278141e-06,6.367809772491455,0.40698981285095215,0.40698981285095215
test,1.05,261,1.703708250033742e-07,1.4029267276782775e-06,8.23454761505127,0.6955751776695251,0.6955751776695251
test,1.05,265,6.921988529029477e-07,3.1619856599718332e-06,4.568030834197998,0.12799608707427979,0.12799608707427979
test,1.05,271,5.68267239486886e-07,2.6343134322814876e-06,4.63569450378418,0.1173466369509697,0.1173466369509697
test,1.05,276,3.253059617236431e-07,4.001953584520379e-06,12.302122116088867,-1.0005568265914917,1.0005568265914917
test,1.05,281,2.426639866826008e-07,1.0799982419484877e-06,4.450591564178467,-0.16474466025829315,0.16474466025829315
test,1.05,283,2.2634502272467216e-07,9.738936341818771e-07,4.302695274353027,-0.21865302324295044,0.21865302324295044
test,1.05,286,2.868037256575917e-07,1.5101599046829506e-06,5.265481948852539,-0.33652937412261963,0.33652937412261963
test,1.05,287,2.5830146910266194e-07,1.4764630122954259e-06,5.71604585647583,0.38149985671043396,0.38149985671043396
test,1.05,301,4.235746757785819e-07,4.97540395372198e-06,11.74622631072998,-0.9348282814025879,0.9348282814025879
test,1.05,310,2.571092068137659e-07,1.2136073337387643e-06,4.7202019691467285,-0.045250240713357925,0.045250240713357925
test,1.05,334,2.22425143192595e-07,2.703975724216434e-06,12.156789779663086,1.0450791120529175,1.0450791120529175
test,1.05,343,2.302524251263094e-07,1.238432105310494e-06,5.378584384918213,-0.16559594869613647,0.16559594869613647
test,1.05,381,1.46118352972735e-07,1.4889235444570659e-06,10.18984603881836,-0.8336345553398132,0.8336345553398132
test,1.05,422,4.1800987560236536e-07,2.0112454421905568e-06,4.811478137969971,0.1139632984995842,0.1139632984995842
test,1.05,426,1.8941655355320108e-07,2.2244194042286836e-06,11.743532180786133,-0.9492002725601196,0.9492002725601196
test,1.05,434,1.7015680953136325e-07,9.582096254234784e-07,5.631332874298096,0.2592196762561798,0.2592196762561798
test,1.05,493,3.5288394428789616e-07,3.185753485013265e-06,9.027765274047852,-0.644117534160614,0.644117534160614
