run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,method,model_name,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,config_path
runs\ablations\lambda\0.1,0.0026312645350117236,60714ad02c20,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,60714ad02c20,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.011109560721735079,0.018209066937909687,0.0004023673347148657,1.1626910000341013,12.659674999304116,0.3956148437282536,20,5,orbit,fno1d,16,512,0.012681385507676168,0.017663621468910384,0.000390314578780588,287361,287361,0.0028060502881999128,0.00452285296003485,0.0001998837498968932,23,runs\ablations\lambda\0.1\config.yaml
runs\ablations\lambda\0.5,0.002466949707013555,23fbdb0c3632,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,23fbdb0c3632,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.0051338507114757626,0.009080759456618225,0.0002006583309405817,1.1517316999379545,13.056565000442788,0.4080176562638371,20,5,orbit,fno1d,16,512,0.006770745460016769,0.009167205065398146,0.00020256852707095928,287361,287361,0.0028017884033033624,0.004980375110186331,0.00022010356332909082,23,runs\ablations\lambda\0.5\config.yaml
runs\baselines\1d_burgers\aug,0.002332481773919426,c12f25f7d315,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,c12f25f7d315,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.0026036903469881523,0.004509196797538092,9.964011353887026e-05,1.1347981999861076,11.646330001531169,0.363947812547849,20,5,aug,fno1d,16,512,0.004080569206053042,0.004913651609485877,0.00010857738667048929,287361,287361,0.0025781953590922058,0.004020610653960906,0.00017768756612041476,23,runs\baselines\1d_burgers\aug\config.yaml
runs\baselines\1d_burgers\aug_orbit,0.002330369476112537,c907c5d42030,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,c907c5d42030,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.0022832180414558145,0.004050321228977953,8.950030021856692e-05,1.4476838000118732,14.615000004414469,0.45671875013795216,20,5,aug_orbit,fno1d,16,512,0.003799140664341394,0.004812750253155651,0.00010634776063011356,287361,287361,0.002580205175036099,0.0042899516131906824,0.00018959086729058126,23,runs\baselines\1d_burgers\aug_orbit\config.yaml
runs\baselines\1d_burgers\baseline,0.002056278652162291,c1892b7f59b4,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,c1892b7f59b4,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.3457840403657624,0.4434153012322974,0.009798186449476035,1.2002416000468656,14.340135001111776,0.448129218784743,20,5,baseline,fno1d,16,512,0.3469472629203665,0.44253012191747126,0.009778626565223547,287361,287361,0.0022595967675442807,0.004071375425804375,0.00017993107327140878,23,runs\baselines\1d_burgers\baseline\config.yaml
runs\baselines\1d_burgers\canonical,0.0031743520667077973,955dceb7e956,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,955dceb7e956,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,3.995625649899637e-06,1.2823621683906295e-05,2.8336468287690606e-07,1.5286950001027435,16.425829997751862,0.5133071874297457,20,5,baseline,canonical_fno1d,16,512,0.0031781089874129975,0.006854210360151531,0.00015145808204194486,287425,287425,0.003469897295872215,0.007592467828161983,0.0003355428429521273,23,runs\baselines\1d_burgers\canonical\config.yaml
runs\june10\1d_advection\baseline,0.0010039178014267236,f4caeea6cb16,advection1d,data\1d_advection_n128.pt,7e6e313622e516e38f48e19a604be7aeb570918351968f883f8b9b44196ec9d0,False,cpu,f4caeea6cb16,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.12766749551519752,0.07302669577174715,0.0022820842428670986,2.5125388125601944e-07,4.809670574740989e-07,1.503022054606559e-08,0.7475587000371888,92.32439000043087,2.8851371875134646,20,5,baseline,fno1d,8,256,0.0009314159597124672,0.0007712963486412938,2.410301089504043e-05,287361,287361,0.0009314144917880185,0.000771300131881745,4.8206258242609065e-05,11,runs\june10\1d_advection\baseline\config.yaml
runs\june10\1d_advection\orbit,0.0010168771987082437,914b6cbf1b90,advection1d,data\1d_advection_n128.pt,7e6e313622e516e38f48e19a604be7aeb570918351968f883f8b9b44196ec9d0,False,cpu,914b6cbf1b90,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.12766749551519752,0.07302669577174715,0.0022820842428670986,2.382061974337546e-07,4.1226199969372667e-07,1.2883187490428958e-08,0.52086050005164,12.506175000453368,0.39081796876416774,20,5,orbit,fno1d,8,256,0.0009311742905993015,0.0007569074581480431,2.3653358067126346e-05,287361,287361,0.0009311721369158477,0.0007569090961834336,4.73068185114646e-05,11,runs\june10\1d_advection\orbit\config.yaml
runs\pilot\1d_burgers_translation_galilean\orbit,0.00259993203508202,4be9ad61948b,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,4be9ad61948b,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.015755130336104095,0.02503261426096884,0.0005531478529611918,1.6243443000130355,18.074114999035373,0.5648160937198554,20,5,orbit,fno1d,16,512,0.017266904842472286,0.024367022090056242,0.0005384402049125365,287361,287361,0.002725151483900845,0.004509066681032015,0.00019927447668625353,23,runs\pilot\1d_burgers_translation_galilean\orbit\config.yaml
runs\quality\smoke\run,1.0300956964492798,75217edf769e,advection1d,runs\quality\smoke\data\advection1d_tiny.pt,c9b94c58d3e25c729b5aa68d82826e7c58ed7eb65766e87ac553050a31502826,False,cpu,75217edf769e,False,,,,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.020978713408112526,0.02024391851959321,0.014314612062992291,0.003491439390927553,0.0033790256194916224,0.0023893319293456007,0.011320800054818392,1.5054999967105687,0.7527499983552843,2,1,aug_orbit,fno1d,1,2,1.029344081878662,0.0005754867438258871,0.00040693057904225025,129,129,1.029125452041626,3.6712590546141234e-05,2.5959721730101603e-05,7,runs\quality\smoke\run\config.yaml
runs\smoke\run,1.0300956964492798,3d6b9f800ce2,advection1d,runs\smoke\data\advection1d_tiny.pt,010561db2e057a72641cf7c856096eb7de52df16e00c4faf20df3c90f8978250,False,cpu,3d6b9f800ce2,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.020978713408112526,0.02024391851959321,0.014314612062992291,0.0034914424177259207,0.0033790224919946128,0.002389329717871257,0.01620839990209788,2.698900003451854,1.349450001725927,2,1,aug_orbit,fno1d,1,2,1.029344081878662,0.0004604081914655092,0.00032555775429909587,129,129,1.029125452041626,3.6712590546141234e-05,2.5959721730101603e-05,7,runs\smoke\run\config.yaml
runs\smoke_after_adapt_fix\run,1.0300956964492798,b4e4466908e3,advection1d,runs\smoke_after_adapt_fix\data\advection1d_tiny.pt,d8293002de0e357a3f5297412aba01449d64d34159c2752fb83fccb9e5fad8c5,False,cpu,b4e4466908e3,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.020978713408112526,0.02024391851959321,0.014314612062992291,0.0034914424177259207,0.0033790224919946128,0.002389329717871257,0.008373099961318076,1.0607999865897,0.53039999329485,2,1,aug_orbit,fno1d,1,2,1.029344081878662,0.0004604081914655092,0.00032555775429909587,129,129,1.029125452041626,3.6712590546141234e-05,2.5959721730101603e-05,7,runs\smoke_after_adapt_fix\run\config.yaml
runs\tmp_start_process\train_one_epoch\run,0.06077295960858464,265232badb71,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,265232badb71,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.3280000620233361,0.4233100081131778,0.009353918040030015,1.2223245999775827,13.658799999393523,0.4268374999810476,20,5,baseline,fno1d,16,512,0.3642553906538524,0.399127472785234,0.008819554455134005,287361,287361,0.06387732387520373,0.05093843459134085,0.002251182032660282,23,runs\tmp_start_process\train_one_epoch\run\config.yaml
